window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,910,0.0,0.47952,0.070403,0.042514,1.65599,1.390916,7.243174,0.469788
1,910,0.4,0.29304,0.018931,0.021858,0.866098,1.59766,7.41974,0.372398
2,910,0.801,0.47952,0.071069,0.045953,1.546574,1.084982,6.76349,0.445235
3,910,1.201,0.45288,0.110908,0.065282,1.69891,1.365733,7.020864,0.38917
4,910,1.602,4.385854,1.196862,2.08094,0.575154,5.465632,7.616162,0.529529
5,910,2.002,3.5964,0.235142,0.112663,2.08713,1.26642,7.652734,0.254566
