window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,2123,0.0,3.037318,0.594631,0.657959,0.903751,1.921287,8.014679,0.188835
1,2123,0.4,3.513262,0.651262,1.103137,0.590372,1.869333,7.852306,0.28898
2,2123,0.801,2.033679,0.497765,1.161872,0.428416,2.511026,7.863798,0.25806
3,2123,1.201,5.00392,0.630322,1.394543,0.451992,4.112722,8.145235,0.193772
4,2123,1.602,4.546239,2.791047,4.18366,0.66713,3.144136,7.919332,0.261261
5,2123,2.002,2.63736,0.344153,0.487036,0.706628,2.567669,7.954986,0.220221
