window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,3497,0.0,2.55744,0.057112,0.205698,0.277651,1.359737,7.857866,0.316342
1,3497,0.4,0.31968,0.065619,0.122774,0.534468,1.478803,7.850692,0.292902
2,3497,0.801,4.23576,0.106804,0.248562,0.429687,1.185984,7.78134,0.323316
3,3497,1.201,8.33832,0.097975,0.226479,0.432602,1.269369,7.935295,0.186337
4,3497,1.602,1.998,0.04338,0.09847,0.44054,1.493104,7.902336,0.202527
5,3497,2.002,0.74592,0.032863,0.08364,0.392906,1.485697,7.773589,0.217165
