window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,4289,0.0,0.5328,0.060652,0.095759,0.633381,1.357252,7.797328,0.293646
1,4289,0.4,1.1988,0.133629,0.081329,1.643066,1.419069,7.644665,0.292075
2,4289,0.801,0.71928,0.258434,0.166258,1.55442,1.363061,7.775852,0.254115
3,4289,1.201,0.10656,0.138955,0.141407,0.982664,1.57292,7.72929,0.285272
4,4289,1.602,1.1988,0.071614,0.078057,0.917457,1.307973,7.756586,0.288129
5,4289,2.002,0.50616,0.064717,0.068854,0.93991,1.369242,7.843206,0.28257
