window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,2878,0.0,1.522617,0.820866,1.259308,0.651839,6.071182,9.939301,0.428348
1,2878,2.0,1.924966,0.351591,0.715276,0.491547,8.451037,10.153488,0.509913
2,2878,4.0,0.102156,0.37781,0.485474,0.778231,3.496995,9.232588,0.393368
3,2878,6.0,0.418305,0.206286,0.453245,0.455132,2.317866,10.18226,0.297093
4,2878,8.0,0.485034,0.227664,0.419898,0.542188,2.139728,10.260455,0.227047
5,2878,10.0,3.219148,0.80147,2.592898,0.309102,6.128457,9.994645,0.52311
