window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,921,0.0,2.089293,0.299236,1.686263,0.177455,6.228598,10.147076,0.448424
1,921,2.0,0.305611,0.115741,0.090051,1.285285,4.849867,10.460079,0.185525
2,921,4.0,0.102333,0.608093,1.210268,0.502445,5.953496,10.1332,0.322946
3,921,6.0,0.103263,0.397919,2.840152,0.140105,5.525026,10.083669,0.300115
4,921,8.0,0.255204,0.105033,0.08901,1.180023,3.69705,10.379256,0.273652
