window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,2602,0.0,8.265027,0.72445,1.86031,0.389425,3.149791,8.290208,0.213836
1,2602,0.464,8.447177,0.186809,0.397483,0.469981,1.3477,8.244596,0.171187
2,2602,0.928,5.068182,0.346138,0.430652,0.803752,1.783852,7.813835,0.368754
3,2602,1.392,0.386364,0.178054,0.127961,1.39147,0.928207,8.006176,0.30505
4,2602,1.856,2.727273,0.167847,0.135487,1.238837,0.827026,7.901559,0.213916
