window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,2620,0.0,0.4,0.055222,0.152137,0.362977,1.21831,7.549542,0.369636
1,2620,0.4,1.175,0.091934,0.128854,0.713474,1.078952,7.875352,0.236352
2,2620,0.8,3.3,0.088432,0.075591,1.169869,1.347406,7.976681,0.197775
3,2620,1.2,0.4,0.089422,0.122913,0.727527,1.539054,7.856686,0.265121
4,2620,1.6,0.25,0.027305,0.062977,0.433565,1.339441,7.704941,0.313727
5,2620,2.0,0.275,0.039078,0.097856,0.399347,1.2302,7.725108,0.322553
6,2620,2.4,0.4,0.065097,0.117908,0.552099,1.674108,8.093129,0.251515
