window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,4129,0.0,3.38328,0.355044,0.311956,1.138123,0.89972,7.845056,0.226876
1,4129,0.4,0.10656,0.340082,0.469679,0.724072,0.724724,7.699733,0.309374
2,4129,0.801,0.10656,0.216345,0.20556,1.052466,1.202833,7.129096,0.455265
3,4129,1.201,0.10656,0.240368,0.576747,0.416765,1.34908,7.550746,0.476232
4,4129,1.602,1.607482,2.063637,1.222251,1.688391,3.614718,7.250717,0.471483
5,4129,2.002,3.62304,0.297192,0.284207,1.04569,1.412112,7.920585,0.21062
