window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,2956,0.0,0.50616,0.132458,0.121076,1.094011,1.241065,7.342602,0.344651
1,2956,0.4,4.47552,0.228118,0.147595,1.54557,0.87977,7.892561,0.250707
2,2956,0.801,1.01232,0.14694,0.102123,1.438856,0.906693,7.449085,0.302987
3,2956,1.201,0.10656,0.087527,0.100338,0.872318,0.70824,7.881398,0.224307
4,2956,1.602,0.95904,0.057304,0.064916,0.882736,0.925919,7.75958,0.28761
5,2956,2.002,0.95904,0.034645,0.076738,0.45148,0.895562,7.71662,0.322784
