window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,1705,0.0,0.47952,0.466892,0.478802,0.975123,1.420754,7.994256,0.227376
1,1705,0.434,3.939948,0.568248,0.646049,0.879574,1.393528,7.993362,0.205178
2,1705,0.868,3.548452,0.766731,0.869909,0.881392,1.407372,8.084425,0.215345
3,1705,1.301,1.744157,1.132149,2.609483,0.433859,2.863998,7.991186,0.224279
4,1705,1.735,0.842531,1.13767,1.049468,1.084044,1.735907,8.065363,0.231991
