window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,3685,0.0,0.77256,0.089972,0.135744,0.662804,1.025913,7.656646,0.311044
1,3685,0.4,0.10656,0.123299,0.122043,1.010291,0.946568,7.512398,0.282924
2,3685,0.801,0.55944,0.136651,0.175181,0.780055,0.87888,7.945794,0.223224
3,3685,1.201,3.22344,0.202765,0.237519,0.85368,0.830402,7.863946,0.218319
4,3685,1.602,0.15984,0.40004,0.526879,0.759264,3.820857,7.967437,0.174136
5,3685,2.002,1.62504,0.301579,0.11974,2.518625,0.866052,7.976646,0.213782
