window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,2366,0.0,0.10656,0.060003,0.1901,0.315642,1.117062,7.587178,0.42103
1,2366,0.4,0.10656,0.038952,0.152233,0.255869,1.002076,7.598536,0.359813
2,2366,0.801,0.10656,0.057801,0.122923,0.470222,1.23007,7.638637,0.382744
3,2366,1.201,2.37096,0.08446,0.129626,0.651567,0.696499,7.891032,0.267912
4,2366,1.602,2.47752,0.299764,0.322864,0.928452,1.27822,7.2156,0.399811
5,2366,2.002,0.15984,0.142257,0.181428,0.784093,0.613097,7.337234,0.387598
