window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,3106,0.0,0.485925,0.071472,0.158744,0.450236,1.34155,9.812899,0.306233
1,3106,2.0,0.491138,0.153464,0.583652,0.262937,2.543327,10.32345,0.258962
2,3106,4.0,0.482035,0.183404,0.703261,0.260791,1.371763,9.918308,0.318528
3,3106,6.0,0.488962,0.071734,0.146789,0.488685,1.564,10.092724,0.230293
4,3106,8.0,0.492945,0.097652,0.14134,0.690903,1.616546,10.177869,0.20843
