window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,2468,0.0,0.95904,0.145068,0.183373,0.791104,1.456721,7.901013,0.217681
1,2468,0.4,0.29304,0.32739,0.345631,0.947225,1.677978,7.820014,0.286986
2,2468,0.801,0.47952,0.525913,0.352658,1.491285,1.157489,7.710422,0.3177
3,2468,1.201,2.42424,0.534936,0.259973,2.057657,0.980136,7.716154,0.312362
4,2468,1.602,0.10656,0.71832,0.941641,0.762838,3.4432,7.873342,0.356784
5,2468,2.002,0.34632,0.198482,0.107612,1.844427,0.942316,7.861558,0.258835
