window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,1224,0.0,0.114286,0.567348,3.28399,0.172762,5.808558,7.456264,0.47628
1,1224,0.483,0.48,0.067208,0.128111,0.52461,1.339942,8.142248,0.200563
2,1224,0.967,1.221557,2.840529,3.123504,0.909404,5.462934,8.109034,0.306393
3,1224,1.45,1.846154,6.42037,8.193593,0.783584,2.807732,6.852004,0.341653
4,1224,1.933,2.923636,0.041727,0.117872,0.354002,1.160672,8.24334,0.204046
