window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,645,0.0,1.438561,0.119688,0.234813,0.509716,1.178322,8.17095,0.202126
1,645,0.467,5.710653,0.108204,0.15249,0.709578,1.856343,8.20571,0.189426
2,645,0.934,0.719281,0.124169,0.271678,0.457047,1.416033,8.209711,0.270972
3,645,1.401,1.678322,0.13732,0.256826,0.534679,1.579543,8.103325,0.237427
4,645,1.869,2.375806,0.118592,0.267094,0.444011,2.158276,8.137606,0.365998
