window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,3368,0.0,0.10656,0.066341,0.084482,0.785267,1.301919,7.727032,0.324505
1,3368,0.4,0.1332,0.070521,0.180656,0.390358,1.618632,8.001182,0.306108
2,3368,0.801,0.50616,0.037003,0.130783,0.282933,1.016328,7.8446,0.258903
3,3368,1.201,3.8628,0.041076,0.15222,0.269845,1.274219,7.726166,0.357994
4,3368,1.602,2.45088,0.064069,0.198824,0.322242,1.232974,6.963619,0.636493
5,3368,2.002,2.10456,0.035349,0.077569,0.455713,1.196063,7.852908,0.247088
