window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,4270,0.0,0.106667,0.075964,0.223629,0.339687,1.056382,7.125242,0.501339
1,4270,0.4,0.106667,0.114133,0.155691,0.733074,1.033432,7.253295,0.406933
2,4270,0.8,4.8,0.117157,0.115627,1.013236,1.115061,7.912238,0.21084
3,4270,1.2,2.16,0.131534,0.224452,0.586023,0.848909,7.76632,0.259235
4,4270,1.6,0.106667,1.056527,0.328823,3.213055,2.86826,7.292372,0.518656
5,4270,2.0,1.306667,0.092023,0.087512,1.051553,1.239524,7.879218,0.243046
