window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,3675,0.0,2.157842,0.475189,0.437545,1.086035,2.735753,8.143068,0.188681
1,3675,0.434,0.335664,0.652956,0.698745,0.934469,2.49797,8.157162,0.199275
2,3675,0.868,0.361811,0.838803,0.545942,1.53643,1.773503,8.121354,0.238214
3,3675,1.301,0.22109,1.106424,1.245738,0.888168,2.880344,7.910977,0.361807
4,3675,1.735,4.867859,0.973459,0.607505,1.602389,2.133495,8.126169,0.198428
