window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,3617,0.0,0.106667,0.047396,0.166171,0.285221,1.08388,7.070066,0.4705
1,3617,0.4,0.16,0.107383,0.147596,0.727551,0.996672,6.739917,0.70376
2,3617,0.8,0.106667,0.087966,0.294583,0.298611,0.630627,6.95343,0.570052
3,3617,1.2,0.293333,0.083076,0.232483,0.357341,1.140081,7.86092,0.243222
4,3617,1.6,0.746667,0.08534,0.178473,0.478168,0.913146,7.8588,0.239699
5,3617,2.0,0.106667,0.120486,0.108655,1.108892,0.636936,7.348598,0.309252
