window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,1618,0.0,0.714179,0.070162,0.118312,0.593025,1.607348,10.169334,0.282931
1,1618,2.0,0.474419,0.04691,0.08005,0.586008,1.340908,10.166877,0.244617
2,1618,4.0,0.71928,0.061152,0.151508,0.403623,1.733567,10.228626,0.230387
3,1618,6.0,0.515229,0.042833,0.076857,0.557306,1.481044,10.267638,0.247914
4,1618,8.0,0.703976,0.075254,0.138377,0.543834,1.516153,10.27816,0.21962
