window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,3290,0.0,2.408424,0.107417,0.132852,0.808546,2.582835,7.995048,0.216368
1,3290,0.4,0.502993,0.133127,0.106905,1.24529,1.210173,6.869279,0.441426
2,3290,0.801,0.47952,0.09057,0.145886,0.620828,1.448272,7.053378,0.492806
3,3290,1.201,0.432975,0.077012,0.146337,0.526269,1.481456,7.318684,0.512228
4,3290,1.602,0.111516,0.196041,0.483474,0.405485,2.525201,7.34553,0.538864
5,3290,2.002,0.31968,0.055163,0.107339,0.513913,1.209447,7.2239,0.488509
