window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,4308,0.0,0.106797,0.241252,0.401057,0.60154,3.050069,7.809428,0.259045
1,4308,0.4,8.3916,0.247776,0.429766,0.576536,2.152011,8.029501,0.229114
2,4308,0.801,1.78488,0.141896,0.1177,1.205574,1.318798,7.912534,0.262112
3,4308,1.201,0.10656,0.199916,0.265103,0.754108,0.762416,7.863384,0.247614
4,4308,1.602,3.88944,0.197383,0.463674,0.425694,2.434221,7.942388,0.149198
5,4308,2.002,3.17016,0.162783,0.252683,0.644219,2.17476,8.089305,0.169893
