window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,412,0.0,3.866667,0.085376,0.191488,0.445855,1.349997,7.828316,0.29105
1,412,0.4,0.533333,0.071038,0.122015,0.582209,0.916061,7.894793,0.220254
2,412,0.8,1.44,0.061696,0.120957,0.510066,1.005214,7.634267,0.278456
3,412,1.2,1.013333,0.084812,0.203601,0.41656,0.876178,7.698536,0.265724
4,412,1.6,0.266667,0.136524,0.067571,2.020459,1.436882,7.40606,0.420147
5,412,2.0,0.533333,0.080469,0.12745,0.631378,0.835615,7.416624,0.326433
