window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,3601,0.0,3.83616,0.145731,0.182837,0.797055,2.108608,7.911054,0.21179
1,3601,0.4,0.29304,0.223961,0.359107,0.62366,1.484034,7.75768,0.238623
2,3601,0.801,0.47952,0.314364,0.31249,1.005998,1.417623,7.775792,0.301353
3,3601,1.201,0.47952,0.203491,0.278308,0.731173,2.608106,8.216806,0.277345
4,3601,1.602,0.47952,0.211168,0.264122,0.799508,1.350591,7.688762,0.311828
5,3601,2.002,0.29304,0.120675,0.093506,1.290556,1.2835,7.36955,0.398752
