window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,3692,0.0,4.132212,0.945902,1.709299,0.553386,3.989718,9.411531,0.238477
1,3692,2.0,0.112467,2.132476,1.277234,1.669605,2.653652,9.710959,0.386203
2,3692,4.0,0.11758,1.286805,0.825027,1.559713,3.410471,9.554396,0.490727
3,3692,6.0,0.102156,0.986084,0.526905,1.871463,3.085152,9.391835,0.566447
4,3692,8.0,0.122535,1.627975,1.066741,1.52612,3.100834,10.285662,0.18614
