window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,3679,0.0,3.212787,0.079208,0.29328,0.270077,1.045368,8.026787,0.298458
1,3679,0.45,0.335664,0.155675,0.251008,0.620197,0.828316,7.994086,0.329134
2,3679,0.901,0.35964,0.169002,0.255828,0.660609,0.942196,8.020837,0.275771
3,3679,1.351,0.47952,0.251791,0.40758,0.617772,1.153728,7.994703,0.258459
4,3679,1.802,0.600602,0.497165,0.564872,0.880138,1.646195,8.064848,0.271224
