window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,4073,0.0,3.51648,0.072137,0.052407,1.376492,2.089428,7.851624,0.232536
1,4073,0.4,5.48784,0.106256,0.104436,1.017423,2.149405,7.998816,0.18388
2,4073,0.801,4.18248,0.082842,0.0429,1.931051,1.976144,7.917812,0.171829
3,4073,1.201,0.47952,0.093866,0.049566,1.893747,2.474449,7.69902,0.22415
4,4073,1.602,4.662,0.074812,0.053481,1.398864,2.906992,7.879554,0.166008
5,4073,2.002,0.47952,0.091699,0.045106,2.032959,2.895102,8.02755,0.22214
