window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,4735,0.0,3.54312,0.406642,0.4957,0.82034,2.027668,7.947145,0.208006
1,4735,0.4,5.22144,0.3817,0.395199,0.965842,1.43572,7.9058,0.150255
2,4735,0.801,1.4652,0.256577,0.28824,0.890149,1.347358,7.87892,0.192476
3,4735,1.201,5.48784,0.361851,0.333927,1.083622,1.460806,7.936061,0.189552
4,4735,1.602,4.42224,0.370638,0.401577,0.922956,1.429663,8.0192,0.206051
5,4735,2.002,8.134714,0.499838,0.77892,0.641706,2.814074,8.021204,0.189385
