window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,2732,0.0,6.440457,0.849196,0.770499,1.102138,3.436134,10.398966,0.205681
1,2732,2.0,0.451502,1.988413,2.055561,0.967334,2.98765,10.076395,0.245135
2,2732,4.0,0.295118,0.519544,0.501698,1.03557,1.635638,10.249458,0.30137
3,2732,6.0,3.245579,0.498327,0.580186,0.858909,2.154422,10.366331,0.25658
4,2732,8.0,0.12515,0.591806,0.619565,0.955196,2.101694,10.143547,0.299333
