window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,4062,0.0,4.98168,0.236374,0.073963,3.195855,1.030188,7.560162,0.365426
1,4062,0.4,3.38328,0.276008,0.071649,3.852201,0.995946,7.613218,0.329691
2,4062,0.801,0.2664,0.224981,0.069457,3.239159,0.864237,7.4326,0.416466
3,4062,1.201,0.47952,0.197196,0.149156,1.322082,1.046001,7.308164,0.343141
4,4062,1.602,1.866057,6.301086,2.823435,2.231709,4.495998,7.639676,0.447877
5,4062,2.002,0.29304,0.105076,0.095186,1.103897,1.051942,7.72683,0.330832
