window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,1674,0.0,0.48,0.044398,0.088125,0.503808,1.353284,7.952242,0.191885
1,1674,0.4,3.28,0.09602,0.115683,0.830032,1.527242,7.904277,0.178346
2,1674,0.8,4.853333,0.197217,0.155646,1.267085,1.376748,7.885512,0.179697
3,1674,1.2,0.48,0.172118,0.263875,0.652273,1.476717,7.891566,0.225421
4,1674,1.6,2.506667,0.090509,0.15605,0.58,1.319615,7.854258,0.148073
5,1674,2.0,1.653333,0.048145,0.057804,0.832895,1.337819,7.855148,0.220797
