window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,3330,0.0,2.699724,0.268972,0.35598,0.75558,2.463459,10.402917,0.215581
1,3330,2.0,0.295874,0.128116,0.177181,0.723081,1.496971,10.244332,0.204832
2,3330,4.0,2.986754,0.719054,0.728015,0.987692,2.339278,10.230714,0.199073
3,3330,6.0,3.812041,1.002747,1.324242,0.757224,2.521446,10.300518,0.222149
4,3330,8.0,5.376746,0.275627,0.429165,0.642239,1.629265,10.239926,0.241761
