window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,1360,0.0,2.71728,0.232998,0.151497,1.53797,5.220289,8.102698,0.204109
1,1360,0.4,0.10656,0.081289,0.117507,0.69178,1.039446,7.781697,0.294799
2,1360,0.801,4.98168,0.066319,0.143136,0.463328,1.00569,7.84796,0.274629
3,1360,1.201,5.88744,0.088292,0.222312,0.397154,1.038653,7.870918,0.200511
4,1360,1.602,4.74192,0.076196,0.137481,0.554229,1.337412,7.820361,0.252253
5,1360,2.002,2.1312,0.028724,0.059456,0.483114,1.533863,7.945328,0.165448
