window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,319,0.0,7.80552,0.391526,0.77364,0.506082,1.443594,7.92649,0.217364
1,319,0.4,0.18648,0.666471,0.714171,0.93321,1.472475,7.604602,0.415128
2,319,0.801,0.480588,0.481957,1.540782,0.3128,1.178259,7.632106,0.459108
3,319,1.201,0.294348,0.521483,1.462771,0.356504,0.869399,7.50851,0.465299
4,319,1.602,5.413021,2.274936,4.845321,0.469512,2.079976,7.916047,0.227045
5,319,2.002,3.126122,2.061356,3.436932,0.599766,2.168834,7.963819,0.23561
