window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,204,0.0,1.165074,5.607327,3.707054,1.51261,3.93973,7.55736,0.41458
1,204,0.4,0.45288,0.189311,0.084436,2.242072,3.047358,7.930268,0.181803
2,204,0.801,2.87712,0.24956,0.192935,1.293492,2.549201,7.901572,0.190113
3,204,1.201,6.7932,0.320848,0.379968,0.844409,2.526671,7.95593,0.197775
4,204,1.602,3.634157,0.204335,0.365867,0.558495,3.790656,7.172838,0.184068
5,204,2.002,5.901785,0.074499,0.076224,0.97737,2.670828,5.414224,0.065665
