window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,4740,0.0,0.1332,0.329923,0.370501,0.890479,2.163978,7.913618,0.221218
1,4740,0.4,5.38128,0.357868,0.536323,0.667262,1.437495,7.972914,0.202131
2,4740,0.801,3.70296,0.270192,0.405362,0.666545,1.566548,7.794778,0.196893
3,4740,1.201,2.37096,0.407751,0.571603,0.713347,1.230124,7.865078,0.245712
4,4740,1.602,2.1312,0.954298,1.258297,0.758404,2.885278,7.942412,0.197393
5,4740,2.002,0.47952,0.47381,0.435445,1.088104,1.185072,7.742153,0.318083
