window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,4670,0.0,3.7296,0.450215,0.549047,0.819995,1.440398,7.890122,0.19936
1,4670,0.4,0.10656,0.292238,0.531793,0.549534,1.216704,7.25983,0.352484
2,4670,0.801,0.10656,0.697288,0.312035,2.234648,0.963646,7.642574,0.340515
3,4670,1.201,0.55944,0.700624,0.273265,2.563902,0.886629,7.249688,0.348089
4,4670,1.602,0.29304,0.272291,0.131352,2.072986,1.118754,7.180614,0.3019
5,4670,2.002,0.29304,0.038316,0.146448,0.261635,1.008403,7.517884,0.395696
