window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,2225,0.0,3.725,0.487266,0.6216,0.783891,3.75216,8.198595,0.180784
1,2225,0.432,5.511022,0.373698,0.495141,0.754732,1.96973,8.134218,0.204891
2,2225,0.864,3.6,0.346511,0.540972,0.640534,1.584343,8.072695,0.180612
3,2225,1.296,0.237342,0.763167,1.682798,0.453511,1.662612,7.925696,0.297909
4,2225,1.728,4.007056,1.333909,2.041664,0.653344,2.180742,7.975158,0.228884
