window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,726,0.0,7.45657,0.338535,0.808723,0.418605,1.865109,7.917316,0.161919
1,726,0.4,4.56,0.430114,0.806465,0.533333,1.868289,7.962514,0.190552
2,726,0.8,4.933333,0.592647,0.528885,1.120559,1.303089,7.840144,0.216742
3,726,1.2,1.530201,0.779873,0.765034,1.019396,1.661933,7.871664,0.212237
4,726,1.6,1.123746,5.255284,14.71889,0.357044,2.376827,7.343882,0.189796
5,726,2.0,1.581818,1.714726,2.900725,0.591137,1.990883,7.973742,0.267046
