window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,2126,0.0,4.15584,0.081038,0.110322,0.73456,1.81938,7.948956,0.148804
1,2126,0.4,3.48984,0.090403,0.092925,0.972851,1.487817,7.954806,0.213612
2,2126,0.801,0.5328,0.134651,0.122852,1.096036,1.410096,7.860693,0.230691
3,2126,1.201,1.43856,0.139262,0.124661,1.117128,1.532878,7.672514,0.217746
4,2126,1.602,4.47552,0.100961,0.112229,0.899594,1.499297,7.758133,0.178297
5,2126,2.002,1.43856,0.083144,0.112392,0.739764,1.477172,7.846474,0.174122
