window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,1322,0.0,4.712524,1.11678,1.93167,0.578142,3.651414,10.185154,0.318628
1,1322,2.0,3.917278,1.071423,1.174963,0.911877,2.113616,10.210608,0.239076
2,1322,4.0,0.107172,0.670477,0.798652,0.839511,3.003825,9.227635,0.45201
3,1322,6.0,0.112228,0.562755,0.526107,1.069659,1.549066,10.230263,0.225012
4,1322,8.0,0.112419,0.438808,0.546739,0.802593,2.483744,9.922625,0.399128
5,1322,10.0,0.11768,0.729614,0.657775,1.109215,2.952968,9.344803,0.48117
6,1322,12.0,0.107493,0.290363,0.740761,0.391979,4.568088,10.148417,0.366434
7,1322,14.0,0.113094,0.818089,0.813896,1.005151,3.185678,9.536577,0.470947
