window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,1935,0.0,0.10656,0.061724,0.07203,0.856917,1.173325,7.624766,0.294488
1,1935,0.4,0.10656,0.072704,0.225823,0.32195,0.865518,6.527101,0.731564
2,1935,0.801,0.10656,0.059087,0.465921,0.126818,0.80303,7.040068,0.642918
3,1935,1.201,0.1332,0.077812,0.380742,0.20437,0.834156,7.492774,0.471636
4,1935,1.602,4.90176,0.075355,0.320905,0.234819,3.104815,7.741488,0.459454
5,1935,2.002,0.10656,0.071408,0.115523,0.618128,0.919786,7.319178,0.507442
