window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,1970,0.0,4.535035,0.303705,0.346989,0.875258,2.001725,10.323721,0.182213
1,1970,2.0,0.112324,0.488232,0.626545,0.779245,1.942558,8.563747,0.723778
2,1970,4.0,0.127532,0.316858,0.385468,0.822009,1.525293,10.032572,0.285412
3,1970,6.0,0.127532,0.398051,0.329227,1.209048,2.69618,9.874899,0.492389
4,1970,8.0,0.107127,0.230943,0.281225,0.821204,1.634718,9.655898,0.48521
5,1970,10.0,0.112228,0.61959,0.523804,1.182866,3.752468,8.882545,0.720943
6,1970,12.0,4.690069,0.278801,0.47548,0.586357,4.060392,10.304924,0.181058
