window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,1852,0.0,3.51648,0.114085,0.195317,0.584105,1.14469,7.66519,0.195373
1,1852,0.4,2.23776,0.11968,0.178677,0.669811,0.994316,7.786431,0.218696
2,1852,0.801,4.50216,0.037994,0.190232,0.199725,1.179116,7.688272,0.288809
3,1852,1.201,0.10656,0.056396,0.27363,0.206103,1.071013,7.710346,0.307639
4,1852,1.602,1.30536,0.147337,0.257095,0.573085,1.454224,7.847992,0.344293
5,1852,2.002,0.29304,0.041223,0.246691,0.167104,0.84697,7.790913,0.276571
