window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,1906,0.0,1.698725,0.042125,0.121469,0.346799,1.98721,10.340174,0.197996
1,1906,2.0,0.698875,0.05485,0.199922,0.274356,1.44758,10.259982,0.248457
2,1906,4.0,0.510128,0.062753,0.144991,0.43281,1.47383,10.279779,0.224785
3,1906,6.0,0.443811,0.038977,0.151608,0.257091,1.483651,10.218307,0.250221
4,1906,8.0,4.642162,0.041769,0.158322,0.263822,1.491374,10.252241,0.213946
5,1906,10.0,3.978996,0.055831,0.172113,0.324386,1.489591,10.264799,0.211222
6,1906,12.0,0.47952,0.076917,0.180027,0.427252,1.495828,10.275389,0.190084
7,1906,14.0,3.912679,0.094014,0.205228,0.458094,1.580145,10.327074,0.173135
8,1906,16.0,0.897825,0.084452,0.212277,0.39784,1.511317,10.263212,0.251988
