window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,3377,0.0,2.561646,0.064715,0.124147,0.521278,1.27702,8.938115,0.193645
1,3377,0.801,0.100952,0.112172,0.198966,0.563774,0.756971,8.153105,0.444709
2,3377,1.602,0.529996,0.101808,0.220679,0.46134,0.746423,8.671841,0.283513
