window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,3686,0.0,3.417514,0.310291,1.161218,0.267212,2.00396,7.896984,0.29867
1,3686,0.4,0.15984,0.36601,1.002239,0.365193,1.52096,7.891618,0.237751
2,3686,0.801,0.1332,0.306824,1.161657,0.264126,1.708964,7.842086,0.306597
3,3686,1.201,0.10656,0.550284,0.70757,0.777709,1.045995,7.820711,0.278938
4,3686,1.602,0.15984,0.504599,1.148807,0.439238,1.60863,7.903154,0.208085
5,3686,2.002,6.58008,0.533231,0.813705,0.655312,1.960063,7.965532,0.154268
